ambito,ambito_id,provincia,categoria,puesto,agrupacion_id,agrupacion,votos_pct,mesas_pct,foto,ts_iso
PROVINCIA,01,CAPITAL FEDERAL,SENADORES,1,3,LA IZQUIERDA EN LA CIUDAD,36.74,73.92,default.png,2025-10-23T20:43:20Z
PROVINCIA,01,CAPITAL FEDERAL,SENADORES,2,14,MOVIMIENTO DE JUBILADOS Y JUVENTUD,30.86,73.92,default.png,2025-10-23T20:43:20Z
PROVINCIA,01,CAPITAL FEDERAL,SENADORES,3,31,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,2.52,73.92,default.png,2025-10-23T20:43:20Z
PROVINCIA,01,CAPITAL FEDERAL,SENADORES,4,4,ALIANZA POTENCIA,2.50,73.92,default.png,2025-10-23T20:43:20Z
PROVINCIA,01,CAPITAL FEDERAL,SENADORES,5,359,UNIÓN DEL CENTRO DEMOCRÁTICO,2.50,73.92,default.png,2025-10-23T20:43:20Z
PROVINCIA,01,CAPITAL FEDERAL,SENADORES,6,11,FRENTE PATRIOTA FEDERAL,2.50,73.92,default.png,2025-10-23T20:43:20Z
PROVINCIA,01,CAPITAL FEDERAL,SENADORES,7,2,GEN,2.50,73.92,default.png,2025-10-23T20:43:20Z
PROVINCIA,01,CAPITAL FEDERAL,SENADORES,8,12,PARTIDO SOCIALISTA AUTÉNTICO,2.50,73.92,default.png,2025-10-23T20:43:20Z
PROVINCIA,01,CAPITAL FEDERAL,SENADORES,9,6,ALIANZA LA LIBERTAD AVANZA,2.48,73.92,default.png,2025-10-23T20:43:20Z
PROVINCIA,01,CAPITAL FEDERAL,SENADORES,10,267,HAGAMOS FUTURO,2.48,73.92,default.png,2025-10-23T20:43:20Z
PROVINCIA,01,CAPITAL FEDERAL,SENADORES,11,13,PARTIDO COMUNISTA,2.48,73.92,default.png,2025-10-23T20:43:20Z
PROVINCIA,01,CAPITAL FEDERAL,SENADORES,12,7,PARTIDO FEDERAL,2.48,73.92,default.png,2025-10-23T20:43:20Z
PROVINCIA,01,CAPITAL FEDERAL,SENADORES,13,8,MOVIMIENTO PLURAL,2.46,73.92,default.png,2025-10-23T20:43:20Z
PROVINCIA,01,CAPITAL FEDERAL,SENADORES,14,120,FUERZA PATRIA,2.46,73.92,default.png,2025-10-23T20:43:20Z
PROVINCIA,01,CAPITAL FEDERAL,SENADORES,15,268,CIUDADANOS UNIDOS,2.45,73.92,default.png,2025-10-23T20:43:20Z
PROVINCIA,06,CHACO,SENADORES,1,78,UNIR,40.81,70.91,default.png,2025-10-23T20:43:20Z
